20240415|03|1|990000000001|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415073500|20240415073510|3250842|2710250|20240415074505|3250843|2709970|001|0|03|1|4595|605|1400
20240415|03|2|990000000002|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415074000|20240415074010|3250842|2710250|20240415075005|3250844|2709971|002|0|03|2|5120|610|1400
20240415|03|3|990000000003|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415074800|20240415074810|3250843|2710251|20240415075805|3250844|2709971|003|0|03|1|4830|590|1400
20240415|03|4|990000000004|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415080000|20240415080010|3250844|2710252|20240415081005|3250847|2709972|004|0|03|1|6200|600|1400
20240415|03|5|990000000005|MM10146000|C||146718046|전남71아8046|20240415090000|20240415100000|784|325000610|46001095|20240415090500|20240415090510|3250845|2710253|20240415091505|3250848|2709973|005|0|03|1|7100|600|1400
20240415|03|6|990000000006|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415082000|20240415082010|3250847|2710254|20240415083005|3250848|2709973|006|0|03|1|6800|610|1400
20240415|03|7|990000000007|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415083000|20240415083010|3250848|2710255|20240415084005|3250913|2709974|007|0|03|1|7300|605|1400
20240415|03|8|990000000008|MM10146000|C||146718046|전남71아8046|20240415090000|20240415100000|784|325000610|46001095|20240415090500|20240415090510|3250875|2710256|20240415091505|3251188|2709975|008|0|03|1|5400|610|1400
20240415|03|9|990000000009|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415092000|20240415092010|3250913|2710257|20240415093005|3251189|2709976|009|0|03|1|3900|590|1400
20240415|03|10|990000000010|MM10146000|C||146718046|전남71아8046|20240415090000|20240415100000|784|325000610|46001095|20240415092500|20240415092510|3251188|2710258|20240415093505|3251204|2709977|010|0|03|1|8100|625|1400
20240415|03|11|990000000011|MM10146000|C||146718039|전남71아8039|20240415073000|20240415081500|784|325000002|46711144|20240415094000|20240415094010|3251189|2710259|20240415095005|3250842|2709970|011|0|03|1|4200|600|1400
